Week,Date,Picker,Symbol,Price,Price at Pick ,Mon,Tue ,Wed ,Thur,Fri,Return 1 Week ,Return 1 Week %,Current Price,Total Return
,5/12/2025,Taylor,DIS,$117.94,$109.87,$110.49,$111.38,$112.94,$112.94,$113.42,$3.55,3.2%,$117.94,7.3%
,5/12/2025,Logan,LMT,$486.45,$473.50,$473.16,$459.83,$449.18,$449.18,$468.32,-$5.18,-1.1%,$486.45,2.7%
,,,,,,,,,,,,,,
Winner,Taylor,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
,5/19/2025,Patrick,Ssrm,$12.71,$10.85,$10.85,$11.23,$11.42,$11.16,$11.52,$0.67,6.2%,$12.71,17.1%
,5/19/2025,Taylor,Baba,$112.87,$120.18,$122.96,$125.16,$123.59,$123.59,$120.73,$0.55,0.5%,$112.87,-6.1%
,5/19/2025,Logan,Bac,$44.09,$44.11,$44.77,$44.69,$43.25,$43.25,$43.20,-$0.91,-2.1%,$44.09,-0.0%
,,,,,,,,,,,,,,
Winner,Patrick,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
,5/26/2025,Patrick,NVDA,$141.97,-,-,$135.50,$134.81,$139.19,$135.13,-,-,$141.97,-
,5/26/2025,Taylor,Baba,$112.87,-,-,$119.52,$116.74,$116.74,$113.84,-,-,$112.87,-
,5/26/2025,Logan,Ba,$200.32,-,-,$201.03,$201.50,$201.50,$207.32,-,-,$200.32,-
,,,,,,,,,,,,,,
Winner,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
,6/2/2025,Patrick,CRWD,$480.62,$471.00,$479.17,$488.76,$460.56,$462.94,$468.41,-$2.59,-0.5%,$480.62,2.0%
,6/2/2025,Taylor,PLTR,$137.40,$131.44,$132.04,$133.17,$130.01,$130.01,$127.72,-$3.72,-2.8%,$137.40,4.5%
,6/2/2025,Logan,NET,$171.97,$165.00,$169.70,$172.57,$170.92,$170.92,$179.67,$14.67,8.9%,$171.97,4.2%
,,,,,,,,,,,,,,
Winner,Logan,,,,,,,,,,,,,
